"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"96","Piacenzian","3.60000","2.58800","0","67","67","0","134","77","1056"
"97","Zanclean","5.33300","3.60000","44","31","116","23","207","98","1355"
"98","Messinian","7.24600","5.33300","7","34","42","47","99","76","650"
"99","Tortonian","11.62000","7.24600","60","87","176","21","335","143","2113"
"100","Serravallian","13.82000","11.62000","43","53","78","65","215","89","1539"
"101","Langhian","15.97000","13.82000","48","33","62","70","183","58","1203"
"102","Burdigalian","20.44000","15.97000","89","34","129","14","265","67","1466"
"103","Aquitanian","23.03000","20.44000","38","10","46","10","100","26","377"
"104","Chattian","28.10000","23.03000","20","0","113","0","133","48","549"
