"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"96","Piacenzian","3.60000","2.58800","0","17","46","0","63","27","181"
"97","Zanclean","5.33300","3.60000","8","20","92","9","124","44","305"
"98","Messinian","7.24600","5.33300","3","12","37","26","55","31","199"
"99","Tortonian","11.62000","7.24600","25","13","74","13","119","46","385"
"100","Serravallian","13.82000","11.62000","11","12","36","15","66","30","200"
"101","Langhian","15.97000","13.82000","11","4","18","16","37","11","141"
"102","Burdigalian","20.44000","15.97000","14","5","82","6","105","26","342"
"103","Aquitanian","23.03000","20.44000","10","1","34","1","45","3","63"
"104","Chattian","28.10000","23.03000","2","0","56","0","58","5","127"
