"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"96","Piacenzian","3.60000","2.58800","0","36","26","0","62","37","361"
"97","Zanclean","5.33300","3.60000","15","29","60","21","118","51","528"
"98","Messinian","7.24600","5.33300","1","13","17","49","48","29","373"
"99","Tortonian","11.62000","7.24600","34","50","90","28","195","79","1131"
"100","Serravallian","13.82000","11.62000","30","26","63","48","145","81","932"
"101","Langhian","15.97000","13.82000","21","15","35","53","100","50","680"
"102","Burdigalian","20.44000","15.97000","50","13","84","18","161","65","1147"
"103","Aquitanian","23.03000","20.44000","15","7","12","16","41","20","183"
"104","Chattian","28.10000","23.03000","23","0","52","0","75","45","408"
