"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"96","Piacenzian","3.60000","2.58800","0","13","12","0","25","11","275"
"97","Zanclean","5.33300","3.60000","7","10","12","6","32","20","295"
"98","Messinian","7.24600","5.33300","2","10","5","14","21","19","176"
"99","Tortonian","11.62000","7.24600","18","57","46","6","127","27","1281"
"100","Serravallian","13.82000","11.62000","28","15","20","35","85","27","989"
"101","Langhian","15.97000","13.82000","22","17","13","28","76","27","918"
"102","Burdigalian","20.44000","15.97000","41","13","27","4","85","23","640"
"103","Aquitanian","23.03000","20.44000","9","3","16","8","33","14","148"
"104","Chattian","28.10000","23.03000","11","0","41","0","52","14","176"
