"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"96","Piacenzian","3.60000","2.58800","0","0","22","0","22","5","44"
"97","Zanclean","5.33300","3.60000","0","0","1","0","1","0","3"
"98","Messinian","7.24600","5.33300","0","0","13","0","13","1","28"
"99","Tortonian","11.62000","7.24600","0","0","3","0","3","0","10"
"100","Serravallian","13.82000","11.62000","0","5","160","0","165","12","245"
"101","Langhian","15.97000","13.82000","0","0","14","5","14","0","15"
"102","Burdigalian","20.44000","15.97000","1","0","218","4","219","15","312"
"103","Aquitanian","23.03000","20.44000","0","0","2","4","2","2","15"
"104","Chattian","28.10000","23.03000","4","0","99","0","103","6","210"
