"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"96","Piacenzian","3.60000","2.58800","0","8","9","0","17","8","155"
"97","Zanclean","5.33300","3.60000","6","1","11","2","20","10","131"
"98","Messinian","7.24600","5.33300","1","3","2","2","6","1","35"
"99","Tortonian","11.62000","7.24600","5","2","22","0","29","11","85"
"100","Serravallian","13.82000","11.62000","1","4","27","1","33","9","83"
"101","Langhian","15.97000","13.82000","2","1","6","3","11","5","66"
"102","Burdigalian","20.44000","15.97000","4","0","28","0","32","8","99"
"103","Aquitanian","23.03000","20.44000","0","1","1","0","2","0","2"
"104","Chattian","28.10000","23.03000","1","0","7","0","8","0","13"
