"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"106","Priabonian","38.00000","33.90000","0","1","0","0","1","0","7"
"107","Bartonian","41.30000","38.00000","0","0","0","1","1","0","5"
"108","Lutetian","47.80000","41.30000","1","0","0","0","1","0","6"
"109","Ypresian","56.00000","47.80000","0","2","7","0","9","1","127"
"110","Thanetian","59.20000","56.00000","2","3","16","0","21","4","86"
"743","Selandian","61.60000","59.20000","0","0","0","3","0","0","0"
"111","Danian","66.00000","61.60000","3","5","62","0","70","9","448"
"112","Maastrichtian","72.10000","66.00000","5","0","32","0","37","6","500"
