"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"106","Priabonian","38.00000","33.90000","0","1","2","0","3","1","4"
"107","Bartonian","41.30000","38.00000","0","0","0","1","0","0","0"
"108","Lutetian","47.80000","41.30000","0","1","4","1","6","1","19"
"109","Ypresian","56.00000","47.80000","2","3","14","0","19","4","464"
"110","Thanetian","59.20000","56.00000","2","4","14","1","20","2","117"
"743","Selandian","61.60000","59.20000","2","1","8","3","11","3","22"
"111","Danian","66.00000","61.60000","4","0","14","0","18","2","57"
