"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/diversity_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/diversity.txt?datainfo&rowcount&base_name=Animalia&count=species"
"Access Time","Sun 2024-02-11 01:44:12 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","count","species"
"","time_reso","stage"
"","base_name","Animalia"
"","timerule","major"
"Elapsed Time","62.6"
"Records Found","100"
"Records Returned","100"
"Summary:"
"n_occs","bin_total","imprecise_time","imprecise_taxon","missing_taxon"
"1294990","1180269","114721","538589",""
"Records:"
"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"3001","Pridoli","423.00000","419.20000","27","181","166","134","431","551","5698"
"184","Ludfordian","425.60000","423.00000","79","205","325","236","769","703","8883"
"185","Gorstian","427.40000","425.60000","116","111","222","325","592","302","3375"
"785","Homerian","430.50000","427.40000","136","145","250","300","695","761","10975"
"188","Sheinwoodian","433.40000","430.50000","144","40","126","301","444","362","3956"
"189","Telychian","438.50000","433.40000","180","196","379","161","850","795","12440"
"190","Aeronian","440.80000","438.50000","103","38","105","254","331","325","2697"
"191","Rhuddanian","443.40000","440.80000","164","46","143","128","399","303","6121"
"192","Hirnantian","445.20000","443.40000","36","196","201","138","489","302","3445"
"1008","Katian","453.00000","445.20000","263","286","2069","71","2668","1032","28525"
"1009","Sandbian","458.40000","453.00000","228","118","802","129","1212","670","10738"
"556","Darriwilian","467.30000","458.40000","201","281","1456","46","1969","945","17100"
"1079","Dapingian","470.00000","467.30000","142","71","103","185","374","229","3145"
"1010","Floian","477.70000","470.00000","174","170","587","82","978","649","8833"
"559","Tremadocian","485.40000","477.70000","250","13","989","2","1252","547","8994"
"1112","Stage 10","489.50000","485.40000","0","0","0","15","0","0","0"
"1113","Jiangshanian","494.00000","489.50000","7","1","17","8","25","27","140"
"1114","Paibian","497.00000","494.00000","0","2","48","9","50","33","523"
"1087","Guzhangian","500.50000","497.00000","9","73","381","2","464","139","3006"
"1116","Drumian","504.50000","500.50000","66","25","177","9","276","114","1522"
"1117","Stage 5","509.00000","504.50000","10","7","53","24","75","55","408"
"1118","Stage 4","514.00000","509.00000","25","64","644","6","735","202","3920"
"1119","Stage 3","521.00000","514.00000","68","77","1243","2","1390","663","13012"
"1120","Stage 2","529.00000","521.00000","51","72","139","28","285","141","2343"
"1121","Fortunian","541.00000","529.00000","100","0","59","0","159","65","1071"
