interval_no,interval_name,max_ma,min_ma,X_Ft,X_bL,X_FL,X_bt,sampled_in_bin,implied_in_bin,n_occs
,Interpolated between Priabonian and Bartonian,40.47500000000001,39.650000000000006,,,,,4586.249999999975,,
107.0,Bartonian,41.3,38.0,475.0,690.0,1097.0,1197.0,2673.0,983.0,19442.0
,Interpolated between Bartonian and Lutetian,42.925,41.3,,,,,3161.75,,
,Interpolated between Bartonian and Lutetian,44.55,42.925,,,,,3650.5,,
,Interpolated between Bartonian and Lutetian,46.175,44.55,,,,,4139.25,,
108.0,Lutetian,47.8,41.3,1030.0,493.0,2658.0,857.0,4628.0,1304.0,21792.0
,Interpolated between Lutetian and Ypresian,49.849999999999994,47.8,,,,,4678.25,,
,Interpolated between Lutetian and Ypresian,51.89999999999999,49.849999999999994,,,,,4728.5,,
,Interpolated between Lutetian and Ypresian,53.94999999999999,51.89999999999999,,,,,4778.75,,
,Interpolated between Lutetian and Ypresian,55.999999999999986,53.94999999999999,,,,,4829.0,,
109.0,Ypresian,56.0,47.8,978.0,208.0,3470.0,372.0,4829.0,1031.0,29054.0
,Interpolated between Ypresian and Thanetian,56.8,56.0,,,,,3929.250000000004,,
,Interpolated between Ypresian and Thanetian,57.599999999999994,56.8,,,,,3029.500000000008,,
,Interpolated between Ypresian and Thanetian,58.39999999999999,57.599999999999994,,,,,2129.750000000012,,
,Interpolated between Ypresian and Thanetian,59.19999999999999,58.39999999999999,,,,,1230.000000000016,,
110.0,Thanetian,59.2,56.0,312.0,169.0,647.0,268.0,1230.0,599.0,6761.0
,Interpolated between Thanetian and Selandian,59.800000000000004,59.2,,,,,1099.4999999999995,,
,Interpolated between Thanetian and Selandian,60.400000000000006,59.800000000000004,,,,,968.9999999999993,,
,Interpolated between Thanetian and Selandian,61.00000000000001,60.400000000000006,,,,,838.4999999999989,,
743.0,Selandian,61.6,59.2,84.0,54.0,505.0,353.0,708.0,294.0,2534.0
,Interpolated between Selandian and Danian,62.7,61.6,,,,,877.0000000000002,,
,Interpolated between Selandian and Danian,63.800000000000004,62.7,,,,,1046.0000000000005,,
,Interpolated between Selandian and Danian,64.9,63.800000000000004,,,,,1215.000000000001,,
111.0,Danian,66.0,61.6,270.0,178.0,883.0,137.0,1384.0,986.0,11601.0
,Interpolated between Danian and Maastrichtian,67.525,66.0,,,,,1760.0000000000018,,
,Interpolated between Danian and Maastrichtian,69.05000000000001,67.525,,,,,2136.0000000000036,,
,Interpolated between Danian and Maastrichtian,70.57500000000002,69.05000000000001,,,,,2512.0000000000055,,
112.0,Maastrichtian,72.1,66.0,315.0,0.0,2573.0,0.0,2888.0,1114.0,44099.0
