"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"104","Chattian","28.10000","23.03000","0","30","103","0","133","48","549"
"105","Rupelian","33.90000","28.10000","28","39","94","2","163","35","1144"
"106","Priabonian","38.00000","33.90000","38","27","116","3","182","30","1120"
"107","Bartonian","41.30000","38.00000","21","33","52","9","111","30","438"
"108","Lutetian","47.80000","41.30000","39","9","110","3","160","19","591"
"109","Ypresian","56.00000","47.80000","12","0","40","0","52","6","805"
