"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"104","Chattian","28.10000","23.03000","0","86","179","0","265","61","1218"
"105","Rupelian","33.90000","28.10000","82","59","230","4","375","61","2001"
"106","Priabonian","38.00000","33.90000","55","18","102","8","180","38","802"
"107","Bartonian","41.30000","38.00000","14","11","64","12","91","30","246"
"108","Lutetian","47.80000","41.30000","21","17","100","2","140","23","676"
"109","Ypresian","56.00000","47.80000","18","6","125","1","150","15","1148"
"110","Thanetian","59.20000","56.00000","7","0","7","0","14","3","58"
