"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"104","Chattian","28.10000","23.03000","0","14","35","0","49","17","129"
"105","Rupelian","33.90000","28.10000","12","9","73","2","96","11","543"
"106","Priabonian","38.00000","33.90000","10","2","17","1","30","4","210"
"107","Bartonian","41.30000","38.00000","3","1","4","0","8","2","30"
"108","Lutetian","47.80000","41.30000","1","0","5","0","6","3","43"
"109","Ypresian","56.00000","47.80000","0","0","2","0","2","1","58"
"110","Thanetian","59.20000","56.00000","0","0","0","0","0","0","0"
"743","Selandian","61.60000","59.20000","0","0","0","0","0","0","0"
"111","Danian","66.00000","61.60000","0","0","5","0","5","0","12"
