"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"104","Chattian","28.10000","23.03000","0","4","67","0","71","16","284"
"105","Rupelian","33.90000","28.10000","4","0","14","0","18","6","57"
"106","Priabonian","38.00000","33.90000","0","2","14","0","16","4","265"
"107","Bartonian","41.30000","38.00000","1","4","15","1","21","6","81"
"108","Lutetian","47.80000","41.30000","5","1","29","0","35","2","97"
"109","Ypresian","56.00000","47.80000","1","0","1","0","2","0","2"
