"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"922","Late Pleistocene","0.12600","0.01170","0","123","137","0","260","36","3237"
"923","Middle Pleistocene","0.78100","0.12600","29","20","29","94","134","58","1075"
"740","Calabrian","1.80600","0.78100","66","36","74","48","214","72","2397"
"741","Gelasian","2.58800","1.80600","25","12","13","59","79","38","1220"
"96","Piacenzian","3.60000","2.58800","71","0","63","0","134","77","1056"
