"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"922","Late Pleistocene","0.12600","0.01170","0","0","30","0","30","6","64"
"923","Middle Pleistocene","0.78100","0.12600","0","0","4","0","4","3","9"
"740","Calabrian","1.80600","0.78100","0","0","0","0","0","1","1"
"741","Gelasian","2.58800","1.80600","0","0","11","0","11","4","22"
"96","Piacenzian","3.60000","2.58800","0","0","22","0","22","5","44"
"97","Zanclean","5.33300","3.60000","0","0","1","0","1","0","3"
