"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"922","Late Pleistocene","0.12600","0.01170","0","34","14","0","48","4","572"
"923","Middle Pleistocene","0.78100","0.12600","5","6","0","29","30","4","354"
"740","Calabrian","1.80600","0.78100","24","9","17","11","61","7","827"
"741","Gelasian","2.58800","1.80600","6","1","2","14","15","5","295"
"96","Piacenzian","3.60000","2.58800","15","0","10","0","25","11","275"
"97","Zanclean","5.33300","3.60000","7","10","12","6","32","20","295"
