"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"922","Late Pleistocene","0.12600","0.01170","0","20","73","0","93","7","892"
"923","Middle Pleistocene","0.78100","0.12600","2","0","0","18","6","9","53"
"740","Calabrian","1.80600","0.78100","9","2","7","9","20","10","81"
"741","Gelasian","2.58800","1.80600","4","6","7","7","19","6","54"
"96","Piacenzian","3.60000","2.58800","13","0","28","0","41","18","233"
"97","Zanclean","5.33300","3.60000","12","10","58","9","87","35","543"
