"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"106","Priabonian","38.00000","33.90000","0","1","0","0","1","0","7"
"107","Bartonian","41.30000","38.00000","0","0","0","1","1","0","5"
"108","Lutetian","47.80000","41.30000","1","0","0","0","1","0","6"
"109","Ypresian","56.00000","47.80000","0","2","5","0","7","2","116"
"110","Thanetian","59.20000","56.00000","2","2","9","0","13","3","51"
"743","Selandian","61.60000","59.20000","0","0","0","2","0","0","0"
"111","Danian","66.00000","61.60000","2","5","59","0","66","9","444"
"112","Maastrichtian","72.10000","66.00000","5","0","22","0","27","5","458"
